Dialogue,Character,Label
We are going to have so much fun! A weekend in a cabin in the woods with the Gal Pals!,not spongebob,0
Gal Pals! Yeah!,not spongebob,0
"Oh, a Krabby Patty!  Perfect.",not spongebob,0
Ugh.,not spongebob,0
The engine needed greasing.,not spongebob,0
"Congratulations, Mrs. Puff!  Your boat and trailer just got hitched!",not spongebob,0
"Hmm, I wonder what's keeping our newest Gal Pal?",not spongebob,0
"This is gonna be so funny. The Gal Pals will obviously try to prank the newbie, but this newbie is gonna prank them right back.",not spongebob,0
Boo! Who likes eggs?,spongebob,1
"Not now, SpongeBob.  Wait until you're around the campfire. And you're supposed to act scary, not lame.",not spongebob,0
"Oh, scary. Got it! Wait until the fire then make with the scary.",spongebob,1
Keep working on it.,not spongebob,0
Here comes our newest member!,not spongebob,0
Gal Pals! Yeah!,not spongebob,0
"Here, let me get your bag.",not spongebob,0
"tents, sleeping bags, sporting equipment, lanterns, pillows, extra blankets, umbrellas, food, a grill, swimwear, and suitcases with extra clothing. SpongeBob peaks his eyes out through all those camping supplies just as the trailer door closed.]",not spongebob,0
Nice and cozy.,spongebob,1
"♪We're Gal Pals and, yes, we shall conquer the world one day! We're no sea bunnies, we're smart and funny and we demand equal pay! We'll shout Gal Pals right into your ear canal and bang it on a drum! We're sweet and nice, but take our advice cross us and you'll be chum!♪",not spongebob,0
"Ooh, this is gonna be so much fun! We're gonna have a real adventure with our newbie, aren't we, ladies?",not spongebob,0
"Where am I?  Huh? All right, I'll just sit tight and wait to hear from Pearl. I've got the trailer, so there's plenty of food and blankets.  Barnacles! Now what am I gonna do?  Hey, a peanut! A lucky peanut! Mm, I'm not gonna go hungry out here. I'm gonna survive!  Wait a minute, I can't eat this peanut. You're my lucky peanut.  I've got a lucky peanut!",spongebob,1
Here we are.,not spongebob,0
"Uh-oh, looks like we lost something.",not spongebob,0
"Oh, no, my backpack! This is the worst thing that could ever happen!",not spongebob,0
"Aww, there, there, sweetie. It's just a backpack. We can buy you a new one. It's not like losing a friend.",not spongebob,0
She must be psychic.,not spongebob,0
"Aww, heck, we'll just have to rough it!  All right, gals, let's not just hang here like mama's washing! Time to gussy up the place!",not spongebob,0
"Good thing we have a Texas tornado among the Gal Pals. Who knew you could use a jellyfish as a recharger.  Oh, yeah.",not spongebob,0
"Yep, nature always provides.",not spongebob,0
"Hey, where's the newbie?",not spongebob,0
"Oh...Oh, please, SpongeBob, be all right.",not spongebob,0
"I'm Sponge-zan of the brine apes!  Oh, my lucky peanut's ringing.  Hello?  Shell-lo?",spongebob,1
"SpongeBob! Oh, thank Neptune, you're still alive.",not spongebob,0
"Don't worry, Pearl, I'm still gonna do the prank. I just have to find your cabin. Are there any landmarks I can head to?",spongebob,1
"Uh, well, there are a lot of trees.",not spongebob,0
"Trees, perfect! I'll just follow the trees.  Are you sure you didn't ring, too, lucky peanut? Hello, hello? Ugh, bad reception. No peanut bars.  Follow the trees! Follow the trees, follow the trees, follow the trees, follow the trees, follow the trees, follow the trees...",spongebob,1
"Oh, this kelp cocoa is delicious.",not spongebob,0
"Yeah, my sensors indicate an agreeable flavor.",not spongebob,0
"Okay, Gal Pals,  it's time to initiate our newest member.",not spongebob,0
You are now a Gal Pal.,not spongebob,0
That's it? Just this necklace? No swats or parading around in my PJ's? No tryin' to scare me with urban legends?,not spongebob,0
Why would we do that?,not spongebob,0
"Yeah, we like you.",not spongebob,0
We haven't had a forth member since that incident with Flibberty Gibbet. I—,not spongebob,0
Puff! Shh.,not spongebob,0
Who's Slippery Giveth?,not spongebob,0
"Oh, Flibberty Gibbet. She was the fourth member of our group. We had a fight with her years ago right here at this very cabin one dark and stormy night.",not spongebob,0
We don't even remember what the fight was about.,not spongebob,0
It sure was a humdinger of an argument!,not spongebob,0
She went bananas and vowed to destroy any and all the Gal Pals.,not spongebob,0
Then she just ran off into these woods!,not spongebob,0
"Some say she's still out there, all hot-headed and waiting to get her revenge.",not spongebob,0
That's her pendant you're wearing.,not spongebob,0
"Flibberty Gibbet?!  Why did you give me that? Why did you take me here?!  Thanks, gals, you got me. But I knew you were gonna prank me.",not spongebob,0
Sure you did.,not spongebob,0
You should have seen your face.,not spongebob,0
We got you good!,not spongebob,0
"Mm, Gal Pals.",not spongebob,0
What was that?,not spongebob,0
"'Kay, you can stop trying to scare me. I know Flipperty Giblets is a prank.",not spongebob,0
Flibberty Gibbet is partly true.,not spongebob,0
She was a Gal Pal. We did have a fight with her.,not spongebob,0
And she did run off into these woods.,not spongebob,0
"Wait, that was all the parts!",not spongebob,0
"Quick, let's hide in the cabin!",not spongebob,0
"Wait, it—it's okay. It's only SpongeBob. I asked him to make noise and prank you. All right, SpongeBob, you can come out! I'm canceling the prank!",not spongebob,0
"There's another tree.  And another tree. Wow, following the trees really works.  Tree, tree, tree, tree.",spongebob,1
"So, SpongeBob thinks he can prank us, huh? We'll prank him right back.  We can rig up the cabin with trap doors, flying ghosts, and a thousand cadavers in a zombie ballroom!  Ooh, what am I saying?",not spongebob,0
